symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv,*,delta,vega,gamma,theta,rho
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01150000,03/31/17,1150,C,E,1224.2,1213.2,1218.7,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.031506
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01150000,03/31/17,1150,P,E,0.05,0,0,0.281087,0,116,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01175000,03/31/17,1175,C,E,1199.2,1187.7,1193.45,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.032191
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01175000,03/31/17,1175,P,E,0.05,0,0,0.281087,0,99,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01200000,03/31/17,1200,C,E,1179.1,1162.7,1170.9,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.032876
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01200000,03/31/17,1200,P,E,0.05,0,0,0.281087,0,1576,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01225000,03/31/17,1225,C,E,1149.2,1137.7,1143.45,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.033561
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01225000,03/31/17,1225,P,E,0.05,0,0,0.281087,0,554,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01250000,03/31/17,1250,C,E,1124,1112.9,1118.45,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.034246
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01250000,03/31/17,1250,P,E,0.05,0,0,0.281087,0,101,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01275000,03/31/17,1275,C,E,1099,1088,1093.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.034931
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01275000,03/31/17,1275,P,E,0.05,0,0,0.281087,0,115,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01300000,03/31/17,1300,C,E,1074.2,1062.8,1068.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.035615
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01300000,03/31/17,1300,P,E,0.05,0,0,0.281087,0,304,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01325000,03/31/17,1325,C,E,1049,1038,1043.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.0363
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01325000,03/31/17,1325,P,E,0.05,0,0,0.281087,0,135,2368.927,*,0,0,0,0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01350000,03/31/17,1350,C,E,1024.2,1012.8,1018.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.036985
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01350000,03/31/17,1350,P,E,0.05,0,0,0.281087,0,2800,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01375000,03/31/17,1375,C,E,999,988,993.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.03767
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01375000,03/31/17,1375,P,E,0.05,0,0,0.281087,0,2865,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01400000,03/31/17,1400,C,E,974.2,962.8,968.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.038355
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01400000,03/31/17,1400,P,E,0.05,0,0,0.281087,0,3466,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01425000,03/31/17,1425,C,E,949.2,937.8,943.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.03904
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01425000,03/31/17,1425,P,E,0.05,0,0,0.281087,0,102,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01450000,03/31/17,1450,C,E,924.2,912.8,918.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.039725
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01450000,03/31/17,1450,P,E,0.05,0,0,0.281087,0,12717,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01475000,03/31/17,1475,C,E,899.2,887.8,893.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.04041
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01475000,03/31/17,1475,P,E,0.05,0,0,0.281087,0,522,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01500000,03/31/17,1500,C,E,874,863,868.5,0.285146,0,49,2368.927,*,0.999946,0,0,0,0.041095
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01500000,03/31/17,1500,P,E,0.05,0,0,0.281087,0,3394,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01525000,03/31/17,1525,C,E,849.2,837.8,843.5,0.285146,0,21,2368.927,*,0.999946,0,0,0,0.04178
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01525000,03/31/17,1525,P,E,0.05,0,0,0.281087,0,6311,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01550000,03/31/17,1550,C,E,824.2,812.8,818.5,0.285146,0,13,2368.927,*,0.999946,0,0,0,0.042465
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01550000,03/31/17,1550,P,E,0.05,0,0,0.281087,0,5863,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01575000,03/31/17,1575,C,E,799.2,787.8,793.5,0.285146,0,2,2368.927,*,0.999946,0,0,0,0.04315
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01575000,03/31/17,1575,P,E,0.05,0,0,0.281087,0,4231,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01600000,03/31/17,1600,C,E,774,763,768.5,0.285146,2,109,2368.927,*,0.999946,0,0,0,0.043834
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01600000,03/31/17,1600,P,E,0.05,0,0,0.281087,2,22292,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01625000,03/31/17,1625,C,E,749.2,737.8,743.5,0.285146,0,47,2368.927,*,0.999946,0,0,0,0.044519
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01625000,03/31/17,1625,P,E,0.05,0,0,0.281087,0,5911,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01650000,03/31/17,1650,C,E,724,713,718.5,0.285146,0,26,2368.927,*,0.999946,0,0,0,0.045204
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01650000,03/31/17,1650,P,E,0.05,0,0,0.281087,0,10850,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01675000,03/31/17,1675,C,E,699,688,693.5,0.285146,0,2,2368.927,*,0.999946,0,0,0,0.045889
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01675000,03/31/17,1675,P,E,0.05,0,0,0.281087,0,3250,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01700000,03/31/17,1700,C,E,674.2,662.8,668.5,0.285146,0,5,2368.927,*,0.999946,0,0,0,0.046574
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01700000,03/31/17,1700,P,E,0.05,0,0,0.281087,0,9040,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01725000,03/31/17,1725,C,E,649.2,637.8,643.5,0.285146,0,2,2368.927,*,0.999946,0,0,0,0.047259
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01725000,03/31/17,1725,P,E,0.05,0,0,0.281087,0,5155,2368.927,*,0,0,0,-0,0
